temperature,precipitation,year,month
24.6,223.2,1971,08
20.6,159.8,1971,09
13.0,12.8,1971,10
8.7,19.5,1971,11
-1.2,16.5,1971,12
0.8,62.6,1972,01
-0.6,32.6,1972,02
5.3,76.8,1972,03
11.5,23.4,1972,04
16.4,85.3,1972,05
21.7,28.0,1972,06
25.7,230.8,1972,07
23.1,881.8,1972,08
19.0,133.6,1972,09
13.8,82.6,1972,10
5.2,125.4,1972,11
0.6,6.7,1972,12
0.4,56.9,1973,01
0.6,3.7,1973,02
4.5,13.7,1973,03
12.4,133.0,1973,04
17.4,82.5,1973,05
21.4,107.9,1973,06
26.8,191.3,1973,07
25.9,188.4,1973,08
20.3,88.1,1973,09
13.0,26.5,1973,10
4.7,24.7,1973,11
-3.0,11.4,1973,12
-2.4,15.1,1974,01
-2.1,23.8,1974,02
3.7,27.7,1974,03
10.7,144.8,1974,04
16.7,239.8,1974,05
19.7,64.3,1974,06
23.5,256.9,1974,07
25.1,319.0,1974,08
20.6,96.3,1974,09
12.6,36.2,1974,10
5.4,10.6,1974,11
-0.5,16.2,1974,12
-2.7,17.4,1975,01
-0.8,6.4,1975,02
4.4,64.2,1975,03
13.3,103.0,1975,04
16.7,83.7,1975,05
21.4,50.5,1975,06
24.9,384.5,1975,07
27.0,96.2,1975,08
22.6,181.3,1975,09
15.4,21.0,1975,10
9.0,36.3,1975,11
-1.6,22.9,1975,12
-3.8,4.0,1976,01
2.8,108.3,1976,02
4.8,6.8,1976,03
11.3,58.4,1976,04
16.7,41.5,1976,05
21.3,49.2,1976,06
23.1,176.7,1976,07
23.7,462.3,1976,08
19.9,78.7,1976,09
13.7,60.7,1976,10
3.5,30.7,1976,11
0.4,32.2,1976,12
-6.7,2.2,1977,01
-2.4,0.2,1977,02
5.4,36.5,1977,03
12.5,228.8,1977,04
17.4,63.7,1977,05
22.5,46.4,1977,06
26.0,405.4,1977,07
24.6,101.0,1977,08
21.5,96.2,1977,09
16.7,15.7,1977,10
7.6,96.0,1977,11
2.4,55.4,1977,12
-2.4,11.6,1978,01
-2.5,13.6,1978,02
4.2,52.2,1978,03
11.5,13.0,1978,04
18.5,25.4,1978,05
21.9,374.7,1978,06
26.4,242.2,1978,07
25.8,270.7,1978,08
20.9,80.9,1978,09
14.5,40.0,1978,10
7.9,7.5,1978,11
1.6,29.1,1978,12
0.9,19.6,1979,01
0.6,32.6,1979,02
6.0,60.3,1979,03
11.2,138.6,1979,04
16.5,116.0,1979,05
21.4,354.4,1979,06
24.3,204.3,1979,07
25.4,237.8,1979,08
20.1,46.8,1979,09
15.9,3.5,1979,10
5.7,30.0,1979,11
1.4,35.5,1979,12
-3.7,28.0,1980,01
-3.1,5.0,1980,02
5.2,32.8,1980,03
10.1,216.7,1980,04
16.5,90.3,1980,05
21.6,118.8,1980,06
22.7,259.2,1980,07
22.8,331.5,1980,08
19.6,58.3,1980,09
13.0,44.9,1980,10
8.6,10.6,1980,11
-3.8,46.3,1980,12
-7.0,21.0,1981,01
-1.4,12.0,1981,02
5.7,55.4,1981,03
11.9,55.4,1981,04
15.9,80.8,1981,05
21.8,109.1,1981,06
25.4,463.8,1981,07
24.5,192.9,1981,08
20.0,129.0,1981,09
13.4,34.1,1981,10
3.6,46.7,1981,11
0.1,16.0,1981,12
-3.5,26.0,1982,01
0.6,2.9,1982,02
5.9,46.0,1982,03
12.3,8.1,1982,04
17.9,134.6,1982,05
21.9,15.7,1982,06
25.1,195.5,1982,07
25.4,255.8,1982,08
20.8,4.8,1982,09
15.8,46.5,1982,10
7.9,164.8,1982,11
-0.1,48.6,1982,12
-1.7,11.1,1983,01
-1.7,11.7,1983,02
6.4,67.5,1983,03
13.6,113.4,1983,04
18.5,69.0,1983,05
22.2,27.4,1983,06
23.6,398.6,1983,07
26.0,132.2,1983,08
22.0,253.4,1983,09
14.2,82.2,1983,10
6.7,28.7,1983,11
-1.1,9.9,1983,12
-5.9,10.7,1984,01
-3.5,14.9,1984,02
2.5,11.4,1984,03
12.1,41.8,1984,04
18.2,35.2,1984,05
22.6,105.5,1984,06
25.2,269.9,1984,07
26.3,330.9,1984,08
20.1,348.1,1984,09
13.8,21.4,1984,10
8.1,35.5,1984,11
-0.9,24.2,1984,12
-5.9,31.2,1985,01
-0.3,25.9,1985,02
4.3,57.8,1985,03
11.6,69.0,1985,04
18.1,177.4,1985,05
22.1,85.4,1985,06
25.3,185.2,1985,07
26.3,438.9,1985,08
20.2,171.7,1985,09
14.7,177.8,1985,10
5.6,82.4,1985,11
-3.4,41.9,1985,12
-5.4,11.7,1986,01
-3.3,8.3,1986,02
4.9,44.3,1986,03
11.9,20.6,1986,04
17.1,71.5,1986,05
21.9,117.1,1986,06
23.5,351.8,1986,07
24.5,370.3,1986,08
19.9,101.0,1986,09
12.7,79.6,1986,10
5.2,39.3,1986,11
1.9,31.9,1986,12
-3.0,43.4,1987,01
-0.1,36.2,1987,02
4.0,34.2,1987,03
10.8,55.3,1987,04
17.0,126.6,1987,05
22.4,130.3,1987,06
23.7,651.2,1987,07
24.4,521.8,1987,08
20.1,61.1,1987,09
15.5,21.9,1987,10
7.5,66.8,1987,11
0.9,2.6,1987,12
-2.1,3.3,1988,01
-1.5,4.5,1988,02
4.3,31.3,1988,03
11.3,60.5,1988,04
17.9,42.8,1988,05
22.3,73.7,1988,06
24.4,382.3,1988,07
26.4,81.3,1988,08
21.4,39.7,1988,09
15.0,8.4,1988,10
5.5,21.1,1988,11
0.1,11.9,1988,12
0.8,44.6,1989,01
2.4,32.7,1989,02
6.1,116.7,1989,03
14.3,14.0,1989,04
17.9,41.1,1989,05
21.2,177.1,1989,06
24.5,343.5,1989,07
25.5,329.4,1989,08
20.7,101.2,1989,09
13.6,69.9,1989,10
7.1,154.5,1989,11
1.4,12.4,1989,12
-3.2,62.2,1990,01
2.7,64.8,1990,02
7.2,92.3,1990,03
11.3,94.2,1990,04
16.2,122.8,1990,05
20.7,497.2,1990,06
24.9,486.5,1990,07
26.4,283.5,1990,08
21.1,570.1,1990,09
15.4,0.0,1990,10
10.0,56.0,1990,11
0.8,25.9,1990,12
-2.6,14.4,1991,01
-0.9,28.4,1991,02
4.9,65.5,1991,03
13.0,48.5,1991,04
17.5,83.2,1991,05
22.6,81.8,1991,06
24.3,487.8,1991,07
25.5,68.2,1991,08
21.1,175.2,1991,09
13.8,27.3,1991,10
6.5,35.0,1991,11
2.2,42.9,1991,12
-0.2,13.6,1992,01
0.7,46.6,1992,02
7.6,11.2,1992,03
12.0,76.5,1992,04
