"행정구역","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~4세","2023년_계_5~9세","2023년_계_10~14세","2023년_계_15~19세","2023년_계_20~24세","2023년_계_25~29세","2023년_계_30~34세","2023년_계_35~39세","2023년_계_40~44세","2023년_계_45~49세","2023년_계_50~54세","2023년_계_55~59세","2023년_계_60~64세","2023년_계_65~69세","2023년_계_70~74세","2023년_계_75~79세","2023년_계_80~84세","2023년_계_85~89세","2023년_계_90~94세","2023년_계_95~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~4세","2023년_남_5~9세","2023년_남_10~14세","2023년_남_15~19세","2023년_남_20~24세","2023년_남_25~29세","2023년_남_30~34세","2023년_남_35~39세","2023년_남_40~44세","2023년_남_45~49세","2023년_남_50~54세","2023년_남_55~59세","2023년_남_60~64세","2023년_남_65~69세","2023년_남_70~74세","2023년_남_75~79세","2023년_남_80~84세","2023년_남_85~89세","2023년_남_90~94세","2023년_남_95~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~4세","2023년_여_5~9세","2023년_여_10~14세","2023년_여_15~19세","2023년_여_20~24세","2023년_여_25~29세","2023년_여_30~34세","2023년_여_35~39세","2023년_여_40~44세","2023년_여_45~49세","2023년_여_50~54세","2023년_여_55~59세","2023년_여_60~64세","2023년_여_65~69세","2023년_여_70~74세","2023년_여_75~79세","2023년_여_80~84세","2023년_여_85~89세","2023년_여_90~94세","2023년_여_95~99세","2023년_여_100세 이상"
"광주광역시 남구 (2915500000)","209,646","209,646","5,288","9,458","11,583","10,881","11,786","12,778","11,597","11,661","16,972","16,291","17,092","15,525","16,249","13,722","10,378","8,177","5,903","3,001","1,037","223","44","100,350","100,350","2,707","4,805","5,758","5,422","6,072","6,477","5,934","5,684","8,250","8,118","8,314","7,290","7,353","6,256","4,581","3,549","2,466","1,023","254","30","7","109,296","109,296","2,581","4,653","5,825","5,459","5,714","6,301","5,663","5,977","8,722","8,173","8,778","8,235","8,896","7,466","5,797","4,628","3,437","1,978","783","193","37"
"광주광역시 북구 (2917000000)","421,683","421,683","11,711","17,082","19,714","20,265","26,093","29,455","27,331","25,537","32,794","31,597","36,415","35,045","34,238","25,841","17,959","13,677","9,862","4,942","1,716","356","53","208,679","208,679","5,900","8,730","10,212","10,738","13,733","15,508","14,378","13,210","16,685","15,844","17,957","17,220","16,293","12,153","8,174","5,950","3,927","1,598","404","61","4","213,004","213,004","5,811","8,352","9,502","9,527","12,360","13,947","12,953","12,327","16,109","15,753","18,458","17,825","17,945","13,688","9,785","7,727","5,935","3,344","1,312","295","49"
"광주광역시 광산구 (2920000000)","396,741","396,741","12,107","19,493","24,459","24,989","27,205","27,912","25,388","24,393","35,262","35,860","38,867","31,645","24,808","16,003","10,162","7,837","5,913","3,149","1,046","204","39","200,098","200,098","6,152","10,017","12,615","12,833","14,372","14,911","13,456","12,429","17,495","17,711","19,809","16,188","13,029","7,923","4,593","3,397","2,073","885","176","33","1","196,643","196,643","5,955","9,476","11,844","12,156","12,833","13,001","11,932","11,964","17,767","18,149","19,058","15,457","11,779","8,080","5,569","4,440","3,840","2,264","870","171","38"
"대전광역시  (3000000000)","1,442,216","1,442,216","39,731","56,996","67,343","70,493","91,081","108,147","99,622","88,343","110,187","109,944","128,531","114,727","112,315","89,711","57,611","41,529","31,708","16,865","5,855","1,266","211","719,292","719,292","20,448","29,342","34,699","36,528","46,743","57,447","53,220","46,155","55,291","54,625","64,298","57,036","54,755","43,111","27,108","18,569","12,583","5,549","1,510","243","32","722,924","722,924","19,283","27,654","32,644","33,965","44,338","50,700","46,402","42,188","54,896","55,319","64,233","57,691","57,560","46,600","30,503","22,960","19,125","11,316","4,345","1,023","179"
"대전광역시 동구 (3011000000)","217,628","217,628","5,013","7,163","8,750","10,035","14,849","13,954","12,576","11,280","15,409","15,793","18,735","17,629","18,801","16,259","11,371","8,536","6,733","3,382","1,086","234","40","109,555","109,555","2,540","3,776","4,534","5,140","7,607","7,601","6,892","6,088","8,011","8,271","9,850","9,027","9,281","7,804","5,219","3,816","2,659","1,101","282","48","8","108,073","108,073","2,473","3,387","4,216","4,895","7,242","6,353","5,684","5,192","7,398","7,522","8,885","8,602","9,520","8,455","6,152","4,720","4,074","2,281","804","186","32"
"대전광역시 중구 (3014000000)","223,256","223,256","4,611","7,232","9,396","10,326","12,648","14,880","12,623","11,226","15,609","16,604","20,273","18,447","18,750","16,648","11,950","9,452","7,206","3,809","1,268","252","46","109,626","109,626","2,346","3,709","4,768","5,338","6,488","7,487","6,559","5,779","7,811","8,432","10,372","9,276","9,170","7,800","5,445","4,196","2,904","1,334","349","52","11","113,630","113,630","2,265","3,523","4,628","4,988","6,160","7,393","6,064","5,447","7,798","8,172","9,901","9,171","9,580","8,848","6,505","5,256","4,302","2,475","919","200","35"
"대전광역시 서구 (3017000000)","464,634","464,634","12,374","18,889","22,881","23,494","29,877","38,455","34,188","29,169","36,359","35,932","41,366","35,656","34,460","27,227","17,019","11,813","8,718","4,662","1,660","380","55","228,024","228,024","6,337","9,734","11,797","12,133","14,861","19,727","17,829","14,952","17,832","17,279","20,124","17,170","16,413","12,925","8,055","5,274","3,552","1,525","424","71","10","236,610","236,610","6,037","9,155","11,084","11,361","15,016","18,728","16,359","14,217","18,527","18,653","21,242","18,486","18,047","14,302","8,964","6,539","5,166","3,137","1,236","309","45"
"대전광역시 유성구 (3020000000)","366,845","366,845","13,915","18,568","19,552","18,950","23,607","29,515","29,890","27,664","31,612","29,213","31,587","26,577","24,298","17,163","9,665","6,257","4,714","2,715","1,106","239","38","185,786","185,786","7,246","9,516","10,072","9,895","12,319","16,359","16,053","14,409","15,713","14,342","15,595","13,218","11,974","8,429","4,799","2,856","1,847","826","270","46","2","181,059","181,059","6,669","9,052","9,480","9,055","11,288","13,156","13,837","13,255","15,899","14,871","15,992","13,359","12,324","8,734","4,866","3,401","2,867","1,889","836","193","36"
"대전광역시 대덕구 (3023000000)","169,853","169,853","3,818","5,144","6,764","7,688","10,100","11,343","10,345","9,004","11,198","12,402","16,570","16,418","16,006","12,414","7,606","5,471","4,337","2,297","735","161","32","86,301","86,301","1,979","2,607","3,528","4,022","5,468","6,273","5,887","4,927","5,924","6,301","8,357","8,345","7,917","6,153","3,590","2,427","1,621","763","185","26","1","83,552","83,552","1,839","2,537","3,236","3,666","4,632","5,070","4,458","4,077","5,274","6,101","8,213","8,073","8,089","6,261","4,016","3,044","2,716","1,534","550","135","31"
"울산광역시  (3100000000)","1,103,661","1,103,661","30,143","48,943","56,172","53,290","55,113","67,409","69,325","67,584","92,047","86,067","101,891","102,923","97,045","72,262","44,196","27,390","19,039","9,018","3,068","657","79","567,153","567,153","15,313","25,308","29,088","27,968","31,178","38,473","38,361","35,973","47,480","44,293","50,579","52,321","49,487","35,914","21,689","12,845","7,536","2,610","652","76","9","536,508","536,508","14,830","23,635","27,084","25,322","23,935","28,936","30,964","31,611","44,567","41,774","51,312","50,602","47,558","36,348","22,507","14,545","11,503","6,408","2,416","581","70"
